True class,Predicted class,High-confidence errors (≥0.90),Mean confidence,Max confidence
Potato___Late_blight,Tomato___Late_blight,10,0.951,1.0
Tomato___Tomato_mosaic_virus,Tomato___Late_blight,8,0.97,0.99
Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,8,0.967,0.993
Cherry_(including_sour)___healthy,Apple___healthy,6,0.956,0.986
"Pepper,_bell___healthy",Tomato___Late_blight,6,0.954,0.975
Raspberry___healthy,Grape___healthy,4,0.991,0.993
Peach___healthy,Soybean___healthy,4,0.971,1.0
Soybean___healthy,Grape___healthy,4,0.965,0.974
Apple___healthy,Tomato___Late_blight,4,0.946,0.969
Blueberry___healthy,Grape___healthy,2,0.999,0.999
