,precision,recall,f1-score,support
Apple___Apple_scab,1.0,0.9423076923076923,0.9702970297029703,52.0
Apple___Black_rot,1.0,0.9782608695652174,0.989010989010989,46.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,20.0
Apple___healthy,0.9590163934426229,1.0,0.9790794979079498,117.0
Blueberry___healthy,1.0,1.0,1.0,115.0
Cherry_(including_sour)___Powdery_mildew,0.9871794871794872,0.9871794871794872,0.9871794871794872,78.0
Cherry_(including_sour)___healthy,1.0,1.0,1.0,64.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9696969696969697,0.8421052631578947,0.9014084507042254,38.0
Corn_(maize)___Common_rust_,1.0,1.0,1.0,90.0
Corn_(maize)___Northern_Leaf_Blight,0.9240506329113924,0.9864864864864865,0.954248366013072,74.0
Corn_(maize)___healthy,1.0,1.0,1.0,80.0
Grape___Black_rot,0.9647058823529412,0.9534883720930233,0.9590643274853801,86.0
Grape___Esca_(Black_Measles),0.9603960396039604,0.9797979797979798,0.97,99.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,76.0
Grape___healthy,1.0,1.0,1.0,31.0
Orange___Haunglongbing_(Citrus_greening),1.0,0.9952038369304557,0.9975961538461539,417.0
Peach___Bacterial_spot,1.0,0.9942528735632183,0.9971181556195965,174.0
Peach___healthy,1.0,0.9629629629629629,0.9811320754716981,27.0
"Pepper,_bell___Bacterial_spot",1.0,0.9863013698630136,0.993103448275862,73.0
"Pepper,_bell___healthy",1.0,0.9727272727272728,0.9861751152073732,110.0
Potato___Early_blight,0.9577464788732394,1.0,0.9784172661870504,68.0
Potato___Late_blight,1.0,0.9027777777777778,0.948905109489051,72.0
Potato___healthy,0.9,0.9,0.9,10.0
Raspberry___healthy,1.0,0.9615384615384616,0.9803921568627451,26.0
Soybean___healthy,0.9921671018276762,0.9973753280839895,0.9947643979057592,381.0
Squash___Powdery_mildew,1.0,1.0,1.0,128.0
Strawberry___Leaf_scorch,1.0,0.9753086419753086,0.9875,81.0
Strawberry___healthy,1.0,1.0,1.0,33.0
Tomato___Bacterial_spot,0.9935897435897436,0.96875,0.9810126582278481,160.0
Tomato___Early_blight,0.8717948717948718,0.9066666666666666,0.8888888888888888,75.0
Tomato___Late_blight,0.9370629370629371,0.9436619718309859,0.9403508771929825,142.0
Tomato___Leaf_Mold,0.918918918918919,0.9855072463768116,0.951048951048951,69.0
Tomato___Septoria_leaf_spot,0.936,0.9140625,0.924901185770751,128.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9140625,0.9831932773109243,0.9473684210526315,119.0
Tomato___Target_Spot,0.9326923076923077,0.9326923076923077,0.9326923076923077,104.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9896907216494846,0.9974025974025974,0.9935316946959897,385.0
Tomato___Tomato_mosaic_virus,1.0,0.9230769230769231,0.96,26.0
Tomato___healthy,0.9819819819819819,0.9732142857142857,0.9775784753363229,112.0
accuracy,0.9786753637732062,0.9786753637732062,0.9786753637732062,0.9786753637732062
macro avg,0.9760724465415404,0.9696395382126775,0.9724411970204219,3986.0
weighted avg,0.9791874445619505,0.9786753637732062,0.9786859693294042,3986.0
