,precision,recall,f1-score,support
Apple___Apple_scab,0.3333333333333333,0.1,0.15384615384615385,20.0
Apple___Black_rot,0.0,0.0,0.0,0.0
Apple___Cedar_apple_rust,0.5,0.1,0.16666666666666666,20.0
Apple___healthy,0.6666666666666666,0.4444444444444444,0.5333333333333333,18.0
Blueberry___healthy,0.375,0.2727272727272727,0.3157894736842105,22.0
Cherry_(including_sour)___Powdery_mildew,0.0,0.0,0.0,0.0
Cherry_(including_sour)___healthy,0.0,0.0,0.0,20.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.2,0.5,0.2857142857142857,8.0
Corn_(maize)___Common_rust_,0.3333333333333333,0.2,0.25,20.0
Corn_(maize)___Northern_Leaf_Blight,0.3125,0.4166666666666667,0.35714285714285715,24.0
Corn_(maize)___healthy,0.0,0.0,0.0,0.0
Grape___Black_rot,0.5,0.125,0.2,16.0
Grape___Esca_(Black_Measles),0.0,0.0,0.0,0.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.0,0.0,0.0,0.0
Grape___healthy,0.6666666666666666,0.16666666666666666,0.26666666666666666,24.0
Orange___Haunglongbing_(Citrus_greening),0.0,0.0,0.0,0.0
Peach___Bacterial_spot,0.0,0.0,0.0,0.0
Peach___healthy,1.0,0.1111111111111111,0.2,18.0
"Pepper,_bell___Bacterial_spot",0.38461538461538464,0.5555555555555556,0.45454545454545453,18.0
"Pepper,_bell___healthy",1.0,0.125,0.2222222222222222,16.0
Potato___Early_blight,0.0,0.0,0.0,16.0
Potato___Late_blight,0.0,0.0,0.0,16.0
Potato___healthy,0.0,0.0,0.0,0.0
Raspberry___healthy,0.6666666666666666,0.2857142857142857,0.4,14.0
Soybean___healthy,0.0,0.0,0.0,16.0
Squash___Powdery_mildew,0.5,0.3333333333333333,0.4,12.0
Strawberry___Leaf_scorch,0.0,0.0,0.0,0.0
Strawberry___healthy,0.0,0.0,0.0,16.0
Tomato___Bacterial_spot,0.0,0.0,0.0,18.0
Tomato___Early_blight,0.14285714285714285,0.1111111111111111,0.125,18.0
Tomato___Late_blight,0.11267605633802817,0.8,0.19753086419753085,20.0
Tomato___Leaf_Mold,0.0,0.0,0.0,12.0
Tomato___Septoria_leaf_spot,0.1111111111111111,0.09090909090909091,0.1,22.0
Tomato___Spider_mites Two-spotted_spider_mite,0.0,0.0,0.0,0.0
Tomato___Target_Spot,0.0,0.0,0.0,0.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0,0.0,0.0,12.0
Tomato___Tomato_mosaic_virus,0.0,0.0,0.0,20.0
Tomato___healthy,0.0,0.0,0.0,16.0
accuracy,0.17796610169491525,0.17796610169491525,0.17796610169491525,0.17796610169491525
macro avg,0.20540595688390348,0.12469051416419835,0.12180152573735213,472.0
weighted avg,0.29705325790757875,0.17796610169491525,0.1748999125207124,472.0
