,precision,recall,f1-score,support
Apple___Apple_scab,0.5,0.7,0.5833333333333334,20.0
Apple___Black_rot,0.0,0.0,0.0,0.0
Apple___Cedar_apple_rust,0.75,0.6,0.6666666666666666,20.0
Apple___healthy,0.3,0.6666666666666666,0.41379310344827586,18.0
Blueberry___healthy,0.6,0.2727272727272727,0.375,22.0
Cherry_(including_sour)___Powdery_mildew,0.0,0.0,0.0,0.0
Cherry_(including_sour)___healthy,0.7142857142857143,0.5,0.5882352941176471,20.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.14285714285714285,0.25,0.18181818181818182,8.0
Corn_(maize)___Common_rust_,0.9,0.9,0.9,20.0
Corn_(maize)___Northern_Leaf_Blight,0.6,0.5,0.5454545454545454,24.0
Corn_(maize)___healthy,0.0,0.0,0.0,0.0
Grape___Black_rot,1.0,0.375,0.5454545454545454,16.0
Grape___Esca_(Black_Measles),0.0,0.0,0.0,0.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.0,0.0,0.0,0.0
Grape___healthy,0.6666666666666666,0.8333333333333334,0.7407407407407407,24.0
Orange___Haunglongbing_(Citrus_greening),0.0,0.0,0.0,0.0
Peach___Bacterial_spot,0.0,0.0,0.0,0.0
Peach___healthy,0.5833333333333334,0.7777777777777778,0.6666666666666666,18.0
"Pepper,_bell___Bacterial_spot",0.8571428571428571,0.6666666666666666,0.75,18.0
"Pepper,_bell___healthy",1.0,0.375,0.5454545454545454,16.0
Potato___Early_blight,0.3333333333333333,0.625,0.43478260869565216,16.0
Potato___Late_blight,0.2,0.25,0.2222222222222222,16.0
Potato___healthy,0.0,0.0,0.0,0.0
Raspberry___healthy,0.6666666666666666,0.8571428571428571,0.75,14.0
Soybean___healthy,0.4,0.5,0.4444444444444444,16.0
Squash___Powdery_mildew,0.8,0.6666666666666666,0.7272727272727273,12.0
Strawberry___Leaf_scorch,0.0,0.0,0.0,0.0
Strawberry___healthy,1.0,1.0,1.0,16.0
Tomato___Bacterial_spot,0.16666666666666666,0.1111111111111111,0.13333333333333333,18.0
Tomato___Early_blight,0.3333333333333333,0.1111111111111111,0.16666666666666666,18.0
Tomato___Late_blight,0.35294117647058826,0.6,0.4444444444444444,20.0
Tomato___Leaf_Mold,0.23529411764705882,0.6666666666666666,0.34782608695652173,12.0
Tomato___Septoria_leaf_spot,0.625,0.45454545454545453,0.5263157894736842,22.0
Tomato___Spider_mites Two-spotted_spider_mite,0.0,0.0,0.0,0.0
Tomato___Target_Spot,0.0,0.0,0.0,0.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.6666666666666666,0.8,12.0
Tomato___Tomato_mosaic_virus,0.0,0.0,0.0,20.0
Tomato___healthy,0.6666666666666666,0.25,0.36363636363636365,16.0
accuracy,0.5254237288135594,0.5254237288135594,0.5254237288135594,0.5254237288135594
macro avg,0.40511020197552705,0.37305479608111186,0.3648305871131897,472.0
weighted avg,0.573141587143332,0.5254237288135594,0.5170575249454227,472.0
