,precision,recall,f1-score,support
Apple___Apple_scab,0.35714285714285715,0.5,0.4166666666666667,20.0
Apple___Black_rot,0.0,0.0,0.0,0.0
Apple___Cedar_apple_rust,0.625,0.5,0.5555555555555556,20.0
Apple___healthy,0.3333333333333333,0.4444444444444444,0.38095238095238093,18.0
Blueberry___healthy,0.6666666666666666,0.18181818181818182,0.2857142857142857,22.0
Cherry_(including_sour)___Powdery_mildew,0.0,0.0,0.0,0.0
Cherry_(including_sour)___healthy,0.8333333333333334,0.5,0.625,20.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.1,0.25,0.14285714285714285,8.0
Corn_(maize)___Common_rust_,0.9,0.9,0.9,20.0
Corn_(maize)___Northern_Leaf_Blight,0.5555555555555556,0.4166666666666667,0.47619047619047616,24.0
Corn_(maize)___healthy,0.0,0.0,0.0,0.0
Grape___Black_rot,1.0,0.625,0.7692307692307693,16.0
Grape___Esca_(Black_Measles),0.0,0.0,0.0,0.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.0,0.0,0.0,0.0
Grape___healthy,0.9090909090909091,0.8333333333333334,0.8695652173913043,24.0
Orange___Haunglongbing_(Citrus_greening),0.0,0.0,0.0,0.0
Peach___Bacterial_spot,0.0,0.0,0.0,0.0
Peach___healthy,0.5714285714285714,0.8888888888888888,0.6956521739130435,18.0
"Pepper,_bell___Bacterial_spot",0.6,0.3333333333333333,0.42857142857142855,18.0
"Pepper,_bell___healthy",0.6,0.375,0.46153846153846156,16.0
Potato___Early_blight,0.15384615384615385,0.25,0.19047619047619047,16.0
Potato___Late_blight,0.5,0.25,0.3333333333333333,16.0
Potato___healthy,0.0,0.0,0.0,0.0
Raspberry___healthy,0.7777777777777778,1.0,0.875,14.0
Soybean___healthy,0.3333333333333333,0.375,0.35294117647058826,16.0
Squash___Powdery_mildew,0.5714285714285714,0.6666666666666666,0.6153846153846154,12.0
Strawberry___Leaf_scorch,0.0,0.0,0.0,0.0
Strawberry___healthy,1.0,1.0,1.0,16.0
Tomato___Bacterial_spot,0.0,0.0,0.0,18.0
Tomato___Early_blight,0.2857142857142857,0.2222222222222222,0.25,18.0
Tomato___Late_blight,0.35714285714285715,0.5,0.4166666666666667,20.0
Tomato___Leaf_Mold,0.1875,0.5,0.2727272727272727,12.0
Tomato___Septoria_leaf_spot,0.3684210526315789,0.6363636363636364,0.4666666666666667,22.0
Tomato___Spider_mites Two-spotted_spider_mite,0.0,0.0,0.0,0.0
Tomato___Target_Spot,0.0,0.0,0.0,0.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
Tomato___Tomato_mosaic_virus,0.0,0.0,0.0,20.0
Tomato___healthy,0.75,0.375,0.5,16.0
accuracy,0.4915254237288136,0.4915254237288136,0.4915254237288136,0.4915254237288136
macro avg,0.3728960155726084,0.35150186071238704,0.3451058898326364,472.0
weighted avg,0.533464620546467,0.4915254237288136,0.4883304698622333,472.0
