class,f1_before_finetuning,f1_after_finetuning,recall_before_finetuning,recall_after_finetuning,support,f1_gain
Strawberry___healthy,0.0,1.0,0.0,1.0,16.0,1.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0,0.8333333333333334,0.0,0.8333333333333334,12.0,0.8333333333333334
Corn_(maize)___Common_rust_,0.25,0.9,0.2,0.9,20.0,0.65
Cherry_(including_sour)___healthy,0.0,0.625,0.0,0.5,20.0,0.625
Grape___healthy,0.26666666666666666,0.8695652173913043,0.16666666666666666,0.8333333333333334,24.0,0.6028985507246376
Grape___Black_rot,0.2,0.7692307692307693,0.125,0.625,16.0,0.5692307692307692
Tomato___healthy,0.0,0.5,0.0,0.375,16.0,0.5
Peach___healthy,0.2,0.6956521739130435,0.1111111111111111,0.8888888888888888,18.0,0.49565217391304345
Raspberry___healthy,0.4,0.875,0.2857142857142857,1.0,14.0,0.475
Apple___Cedar_apple_rust,0.16666666666666666,0.5555555555555556,0.1,0.5,20.0,0.38888888888888895
Tomato___Septoria_leaf_spot,0.1,0.4666666666666667,0.09090909090909091,0.6363636363636364,22.0,0.3666666666666667
Soybean___healthy,0.0,0.35294117647058826,0.0,0.375,16.0,0.35294117647058826
Potato___Late_blight,0.0,0.3333333333333333,0.0,0.25,16.0,0.3333333333333333
Tomato___Leaf_Mold,0.0,0.2727272727272727,0.0,0.5,12.0,0.2727272727272727
Apple___Apple_scab,0.15384615384615385,0.4166666666666667,0.1,0.5,20.0,0.26282051282051283
"Pepper,_bell___healthy",0.2222222222222222,0.46153846153846156,0.125,0.375,16.0,0.23931623931623935
Tomato___Late_blight,0.19753086419753085,0.4166666666666667,0.8,0.5,20.0,0.21913580246913583
Squash___Powdery_mildew,0.4,0.6153846153846154,0.3333333333333333,0.6666666666666666,12.0,0.2153846153846154
Potato___Early_blight,0.0,0.19047619047619047,0.0,0.25,16.0,0.19047619047619047
Tomato___Early_blight,0.125,0.25,0.1111111111111111,0.2222222222222222,18.0,0.125
Corn_(maize)___Northern_Leaf_Blight,0.35714285714285715,0.47619047619047616,0.4166666666666667,0.4166666666666667,24.0,0.11904761904761901
Tomato___Tomato_mosaic_virus,0.0,0.0,0.0,0.0,20.0,0.0
Tomato___Bacterial_spot,0.0,0.0,0.0,0.0,18.0,0.0
"Pepper,_bell___Bacterial_spot",0.45454545454545453,0.42857142857142855,0.5555555555555556,0.3333333333333333,18.0,-0.025974025974025983
Blueberry___healthy,0.3157894736842105,0.2857142857142857,0.2727272727272727,0.18181818181818182,22.0,-0.03007518796992481
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.2857142857142857,0.14285714285714285,0.5,0.25,8.0,-0.14285714285714285
Apple___healthy,0.5333333333333333,0.38095238095238093,0.4444444444444444,0.4444444444444444,18.0,-0.1523809523809524
