true_class,predicted_class,count
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Northern_Leaf_Blight,6
Tomato___Late_blight,Tomato___Early_blight,5
Tomato___Target_Spot,Tomato___Spider_mites Two-spotted_spider_mite,4
Grape___Black_rot,Grape___Esca_(Black_Measles),4
Tomato___healthy,Tomato___Target_Spot,3
Tomato___Septoria_leaf_spot,Tomato___Early_blight,3
Potato___Late_blight,Tomato___Late_blight,3
Tomato___Septoria_leaf_spot,Tomato___Leaf_Mold,3
Potato___Late_blight,Tomato___Spider_mites Two-spotted_spider_mite,2
Orange___Haunglongbing_(Citrus_greening),Tomato___Tomato_Yellow_Leaf_Curl_Virus,2
Grape___Esca_(Black_Measles),Grape___Black_rot,2
Tomato___Septoria_leaf_spot,Tomato___Late_blight,2
Tomato___Bacterial_spot,Tomato___Septoria_leaf_spot,2
Tomato___Early_blight,Tomato___Leaf_Mold,2
Strawberry___Leaf_scorch,Tomato___Septoria_leaf_spot,2
Apple___Apple_scab,Apple___healthy,2
Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,2
Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,2
Cherry_(including_sour)___Powdery_mildew,Apple___healthy,1
Apple___Apple_scab,Potato___Early_blight,1
Potato___healthy,Soybean___healthy,1
Potato___Late_blight,Soybean___healthy,1
"Pepper,_bell___healthy",Tomato___Late_blight,1
Potato___Late_blight,Potato___Early_blight,1
"Pepper,_bell___healthy",Soybean___healthy,1
"Pepper,_bell___healthy",Potato___healthy,1
Peach___healthy,Cherry_(including_sour)___Powdery_mildew,1
"Pepper,_bell___Bacterial_spot",Tomato___Early_blight,1
Peach___Bacterial_spot,Grape___Black_rot,1
Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,1
Apple___Black_rot,Apple___healthy,1
Tomato___Early_blight,Potato___Early_blight,1
Tomato___Bacterial_spot,Tomato___Late_blight,1
Tomato___Bacterial_spot,Tomato___Target_Spot,1
Soybean___healthy,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1
Raspberry___healthy,Tomato___Early_blight,1
Tomato___Late_blight,Tomato___Spider_mites Two-spotted_spider_mite,1
Tomato___Late_blight,Apple___healthy,1
Tomato___Early_blight,Tomato___Spider_mites Two-spotted_spider_mite,1
Tomato___Early_blight,Tomato___Septoria_leaf_spot,1
Tomato___Early_blight,Tomato___Bacterial_spot,1
Tomato___Early_blight,Tomato___Late_blight,1
Tomato___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1
Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,1
Tomato___Septoria_leaf_spot,Tomato___Target_Spot,1
Tomato___Late_blight,Tomato___healthy,1
Tomato___Target_Spot,Tomato___Septoria_leaf_spot,1
Tomato___Target_Spot,Tomato___Leaf_Mold,1
Tomato___Target_Spot,Tomato___healthy,1
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Late_blight,1
Tomato___Tomato_mosaic_virus,Tomato___Septoria_leaf_spot,1
Tomato___Tomato_mosaic_virus,Tomato___Spider_mites Two-spotted_spider_mite,1
