true_class,predicted_class,count,true_class_support,error_percentage_within_true_class
Tomato___Bacterial_spot,Tomato___Septoria_leaf_spot,12,18,66.66666666666666
Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,12,24,50.0
Apple___healthy,Apple___Apple_scab,8,18,44.44444444444444
Tomato___Tomato_mosaic_virus,Tomato___Leaf_Mold,8,20,40.0
Blueberry___healthy,Apple___healthy,8,22,36.36363636363637
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Northern_Leaf_Blight,6,8,75.0
Potato___Early_blight,Tomato___Early_blight,6,16,37.5
Potato___Late_blight,Potato___Early_blight,6,16,37.5
"Pepper,_bell___Bacterial_spot",Tomato___Septoria_leaf_spot,6,18,33.33333333333333
Squash___Powdery_mildew,Tomato___Leaf_Mold,4,12,33.33333333333333
"Pepper,_bell___healthy",Soybean___healthy,4,16,25.0
Potato___Early_blight,Potato___Late_blight,4,16,25.0
Potato___Late_blight,Tomato___Late_blight,4,16,25.0
Tomato___healthy,Tomato___Late_blight,4,16,25.0
Tomato___Early_blight,Tomato___Late_blight,4,18,22.22222222222222
Apple___Apple_scab,Apple___Cedar_apple_rust,4,20,20.0
Apple___Apple_scab,Potato___Early_blight,4,20,20.0
Apple___Cedar_apple_rust,Potato___Early_blight,4,20,20.0
Cherry_(including_sour)___healthy,Apple___healthy,4,20,20.0
Cherry_(including_sour)___healthy,Peach___healthy,4,20,20.0
Tomato___Late_blight,Tomato___Bacterial_spot,4,20,20.0
Tomato___Late_blight,Tomato___Leaf_Mold,4,20,20.0
Tomato___Tomato_mosaic_virus,Squash___Powdery_mildew,4,20,20.0
Tomato___Tomato_mosaic_virus,Tomato___Late_blight,4,20,20.0
Blueberry___healthy,Peach___healthy,4,22,18.181818181818183
Blueberry___healthy,Soybean___healthy,4,22,18.181818181818183
Tomato___Septoria_leaf_spot,Tomato___Bacterial_spot,4,22,18.181818181818183
Tomato___Leaf_Mold,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,2,12,16.666666666666664
Tomato___Leaf_Mold,Corn_(maize)___Northern_Leaf_Blight,2,12,16.666666666666664
Tomato___Leaf_Mold,Tomato___Late_blight,2,12,16.666666666666664
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Bacterial_spot,2,12,16.666666666666664
Grape___Black_rot,Grape___healthy,2,16,12.5
Grape___Black_rot,Tomato___Bacterial_spot,2,16,12.5
Grape___Black_rot,Tomato___Septoria_leaf_spot,2,16,12.5
"Pepper,_bell___healthy",Apple___healthy,2,16,12.5
"Pepper,_bell___healthy",Squash___Powdery_mildew,2,16,12.5
"Pepper,_bell___healthy",Tomato___Leaf_Mold,2,16,12.5
Potato___Early_blight,Apple___healthy,2,16,12.5
Potato___Late_blight,Apple___Apple_scab,2,16,12.5
Soybean___healthy,Apple___Apple_scab,2,16,12.5
Soybean___healthy,Peach___healthy,2,16,12.5
Soybean___healthy,"Pepper,_bell___healthy",2,16,12.5
Soybean___healthy,Raspberry___healthy,2,16,12.5
Soybean___healthy,Tomato___Leaf_Mold,2,16,12.5
Tomato___healthy,Soybean___healthy,2,16,12.5
Tomato___healthy,Tomato___Leaf_Mold,2,16,12.5
Tomato___healthy,Tomato___Tomato_Yellow_Leaf_Curl_Virus,2,16,12.5
Apple___healthy,Blueberry___healthy,2,18,11.11111111111111
Peach___healthy,Cherry_(including_sour)___healthy,2,18,11.11111111111111
"Pepper,_bell___Bacterial_spot",Apple___Apple_scab,2,18,11.11111111111111
"Pepper,_bell___Bacterial_spot",Peach___healthy,2,18,11.11111111111111
"Pepper,_bell___Bacterial_spot",Tomato___Bacterial_spot,2,18,11.11111111111111
Tomato___Bacterial_spot,"Pepper,_bell___Bacterial_spot",2,18,11.11111111111111
Tomato___Bacterial_spot,Potato___Early_blight,2,18,11.11111111111111
Tomato___Bacterial_spot,Tomato___Early_blight,2,18,11.11111111111111
Tomato___Early_blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,2,18,11.11111111111111
Tomato___Early_blight,Potato___Early_blight,2,18,11.11111111111111
Tomato___Early_blight,Tomato___Bacterial_spot,2,18,11.11111111111111
Tomato___Early_blight,Tomato___Septoria_leaf_spot,2,18,11.11111111111111
Tomato___Early_blight,Tomato___healthy,2,18,11.11111111111111
Apple___Apple_scab,Tomato___Leaf_Mold,2,20,10.0
Apple___Cedar_apple_rust,Apple___Apple_scab,2,20,10.0
Apple___Cedar_apple_rust,"Pepper,_bell___healthy",2,20,10.0
Apple___Cedar_apple_rust,Tomato___Early_blight,2,20,10.0
Cherry_(including_sour)___healthy,Apple___Cedar_apple_rust,2,20,10.0
Corn_(maize)___Common_rust_,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,2,20,10.0
Tomato___Late_blight,Potato___Early_blight,2,20,10.0
Tomato___Tomato_mosaic_virus,Soybean___healthy,2,20,10.0
Tomato___Tomato_mosaic_virus,Tomato___Septoria_leaf_spot,2,20,10.0
Blueberry___healthy,"Pepper,_bell___Bacterial_spot",2,22,9.090909090909092
Tomato___Septoria_leaf_spot,Potato___Early_blight,2,22,9.090909090909092
Tomato___Septoria_leaf_spot,Tomato___Leaf_Mold,2,22,9.090909090909092
Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Common_rust_,2,24,8.333333333333332
Grape___healthy,Apple___Apple_scab,2,24,8.333333333333332
Grape___healthy,Raspberry___healthy,2,24,8.333333333333332
