true_class,predicted_class,count,true_class_support,error_percentage_within_true_class
Potato___Late_blight,Tomato___Late_blight,14,16,87.5
Strawberry___healthy,Strawberry___Leaf_scorch,14,16,87.5
Tomato___Early_blight,Tomato___Late_blight,12,18,66.66666666666666
Corn_(maize)___Common_rust_,Corn_(maize)___Northern_Leaf_Blight,12,20,60.0
Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,12,24,50.0
"Pepper,_bell___healthy",Tomato___Late_blight,10,16,62.5
Tomato___Tomato_mosaic_virus,Tomato___Late_blight,10,20,50.0
Raspberry___healthy,Strawberry___Leaf_scorch,8,14,57.14285714285714
Potato___Early_blight,Tomato___Late_blight,8,16,50.0
Tomato___healthy,Tomato___Late_blight,8,16,50.0
"Pepper,_bell___Bacterial_spot",Tomato___Late_blight,8,18,44.44444444444444
Tomato___Bacterial_spot,Tomato___Late_blight,8,18,44.44444444444444
Squash___Powdery_mildew,Tomato___Late_blight,6,12,50.0
Soybean___healthy,Blueberry___healthy,6,16,37.5
Apple___Apple_scab,Strawberry___Leaf_scorch,6,20,30.0
Apple___Apple_scab,Tomato___Late_blight,6,20,30.0
Blueberry___healthy,Tomato___Late_blight,6,22,27.27272727272727
Tomato___Septoria_leaf_spot,Tomato___Late_blight,6,22,27.27272727272727
Grape___healthy,Grape___Esca_(Black_Measles),6,24,25.0
Tomato___Leaf_Mold,Tomato___Late_blight,4,12,33.33333333333333
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Strawberry___Leaf_scorch,4,12,33.33333333333333
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Late_blight,4,12,33.33333333333333
Grape___Black_rot,Grape___Esca_(Black_Measles),4,16,25.0
Soybean___healthy,Tomato___Tomato_Yellow_Leaf_Curl_Virus,4,16,25.0
Tomato___healthy,Strawberry___Leaf_scorch,4,16,25.0
Apple___healthy,Tomato___Late_blight,4,18,22.22222222222222
Peach___healthy,Corn_(maize)___Northern_Leaf_Blight,4,18,22.22222222222222
Peach___healthy,Tomato___Septoria_leaf_spot,4,18,22.22222222222222
Tomato___Early_blight,Strawberry___Leaf_scorch,4,18,22.22222222222222
Apple___Cedar_apple_rust,Grape___Esca_(Black_Measles),4,20,20.0
Apple___Cedar_apple_rust,Strawberry___Leaf_scorch,4,20,20.0
Cherry_(including_sour)___healthy,"Pepper,_bell___Bacterial_spot",4,20,20.0
